complaint_id,complaint,complaints_type,label
24018,This ad states that the child dropped a puppy  and that the father was upset that the vet bill was $8000 because he had not taken out pet insurance. This ad is upsetting because of the dropped puppy which indicates that the child has not been taught correct animal handling and care. The ad suggests it’s okay to abuse animals as long as you have pet insurance. This advert is  totally uncaring| unacceptable and upsetting and should be pulled off air.,Unknown,4
24019,We were watching the chase with our family when a very inappropriate ad came on for fire and emergency with swearing multiple times (yes it was beeped out) but very obvious what was implied. Very shocked to see this on TV.  It was an ad so people dontdrink and cook.,Unknown,1
24020,…ASA Complaint – Thirsty Liquor and Black Bull / Hennessy / Thirsty Liquor Waimak. Kia ora|  1. This letter is to formally complain under the Alcohol Advertising and Promotion Code about an  alcohol advertisement featuring a minor.  2. The advertisement| pictured below| was observed on 24 January 2024| and the picture also features on the Thirsty Liquor Website:   3. Guideline 5 of Rule 1(b) of the Alcohol Advertising and Promotion Code| (Targeting Adults – Content) clearly states:   Minors must not appear in Alcohol Advertising or Promotion.  4. In the Alcohol Advertising and Promotion Code| Minors means people who are under the age of  18 years ...,Unknown,4
24021,As states 10% storewide| terms and conditions to apply. Terms state it is only |on certain sofas and mattresses.  |Misleads consumers| terms and conditions should be to clarify not change substance of the |advertisement.,Unknown,5
24022,Facebook ad including video linked above for nutrient supplement using a |registered nurse to suggest it is has a direct health benefit for crohns and unnamed cancer. |Registered health professionals are not allowed to endorse nutritional supplements so the |consumers profession should not be mentioned. It obviously is deliberately because |suggestions she is a nurse lend weight to her claims of benefits,Unknown,5
24023,The Complaints Board uph eld a complaint about  the website advertisement for Fat Burning |Ninjas  health and fitness  program . The Board said the advertisement was misleading  because |it made claims which had not been adequately substantiated.,Unknown,1
24024,The facebook screenshot ad mentions exclusions| but does not mention that |value and extra value ranges are excluded. When in the ordering part of the website| only |then is it mentioned that it applies to certain ranges of Pizza.  |I feel i was tricked into going onto their website under the premise of 50% off. then told the |full details after i was there| they knew what they were doing as once on the menu it was |specifically clarified with a different ad.,Unknown,1
24025,The Complainants were concerned the advertisement was misleading because:   It is spreading misinformation about the Treaty . It is a translation of an article which was written in Māori in 1922 and translated into English in 1963 . Readers  will th ink they are reading what Sir Apirana Ngata wrote.   The article concerns the English version of the Treaty| and was in line with the thinking  of the 1920’s . The translation contains mistakes.  It is propaganda disguised as independent political research  .,Unknown,1
24026,Frank energy advert shows two older female adults on exercise equipment that is making their loose skin wobble and make noises to show there is no difference between their service and other electricity providers. This is ageist content that discriminates against and mocks aging.,Unknown,5
24027,The Paknsave add showers of an electric oven n the water. My 8yr old said isnt that dangerous putting something electric in water. Yes!!! If an 8yr old is picking this up and the dangers of electric appliances in water!! This obviously has had no thought put into the process of advertising.,Unknown,5
24028,I’d like to make mention that the recent Pac n Save ad on mainly TV3 is not tasteful. Having a BBQ and a Oven in a spa with a person isn’t ideal. Yes| I am aware its only advertising.  But the  way the world is at the moment  someone could do this with a senseless act.,Unknown,5
24029,"The advert reads in part as ""Upgrading your homes electrical switchboard in |New Zealand ensures compliance with the latest safety standards and reduces the risk of |electrical fires and shocks."" The advert uses ignorance and fear to sell a service that is not |generally required.  |1. An old electrical switchboard does not have to be upgraded since electrical safety |legislation is not retrospective.  |2. An electrical switchboard does not need replacement in order to reduce the risk of fires. |Simply tightening connections on older switchboards would generally be sufficient to prevent |a fire. Also| a poorly installed new switchboard can be at greater rise of catching fire than an |older maintained switchboard. There has ben a number of cases of poor installations.  |See https://www.worksafe.govt.nz/about -us/news -and-media/switchboard -installation/ for |example.  |3. There is a possible higher risk of electrical shock from an older switchboard but the claim |made may not be based on credible evidence.",Unknown,3
24030,The ad relates to a golf open (tournament) in New Zealand and at one point in |the ad| there is a clear double entendre with reference to male genitalia.  I have no doubt this |was deliberate designed to attract attention.  I think this crosses reasonable an d acceptable |bounds of common decency and is therefore obscene.  If this same type of linguistic |construction were used with regard to the female physiological form| then women would |undoubtedly be deeply offended and disgusted - and rightly so.  In an iro nic twist| the ad that |played directly before the offending ad was communicating information about what to do when |you hear something on the radio that should not have been communicated.  Women have |fought for decades against having their dignity and value  reduced to any particular body part.  |The same right and standard should apply to males and I have no doubt that the vast majority |of females would agree.  Thank you.,Unknown,5
24031,I realise that you have investigated this advertisement for reasons other than my complaint - Complaint 23/314 McDonalds| Television This advertisement: https://www.youtube.com/watch?v=jBSSLItqEH0 The steering wheel is shown being incorrectly held. (Admitted in the Macdonalds response) NZ Transport Agency - https://www.nzta.govt.nz › Where should hands be on steering wheel. NZ? The driver should have both hands lightly gripping the steering wheel in the ’quarter to three’ position or slightly lower. This is because of the possibility of injury if the airbag goes off. (ie Hands should be at 9 and 3 NOT 10 and 2.,Unknown,3
24032,"The catchphrase| ""play with my balls""| is inappropriate.  I believe this is indecentand goes against rule 1(c) which states ""the advertisement must not contain anything that is indecent...""",Unknown,1
24033,The Complainants were concerned the  advertisement was misleading because it implies meat (broiler) chickens spend time outside  on grass| with plenty of space| whereas most chickens do not go outside. One of the  Complainants said the phrase “farmed with care” was misleading. Copies  of the complaints  are in Appendix 1.,Unknown,1
24034,the  Complainant said the phrase “farmed with care” was misleading. Copies  of the complaints  are in Appendix 1.,Unknown,1
24035,A TVNZ ad promotes its streaming service showing an armed hold up of a bank by masked| armed men. I  think this ad is totally insensitive to victims of the rising violent retail robberies and its affect on the victims of such crimes. It was even more hard hitting when the news covered a segment of the rise and seriousness of such crimes. Surely TVNZ dont need to use violence| seemingly portrayed to be a comical situation as a vehicle to promote themselves given the reality for lots of New Zealanders is a growing| life threatening reality. This ad affects me emotionally watching it so it must be so horrible for those who have had to endure real robberies in their work place.,Unknown,5
24036,"I have concerns about a series of advertisements that have appeared on|Facebook for Oppo phones. These advertisements promote the reaction a child may have if|they were to receive their first mobile phone possibly as a gift. Each advertisement contains|the same message ""Their eyes light up| their smiles widen... it's the moment they unbox a|first phone!|Make everyday amazing. Discover the latest OPPO A Series Smartphones today!""|At the bottom of the image the words ""A First Phone OPPO A Series""|Each advertisement has what looks to be a young teenage or pre -teen child.|Clicking on the advertisment takes you to the following link where viewers of the|advertisement could potentially purchase a range of Smart phones.|""https://www.oppo.com/nz/smartphones/?tab4&utm_medium=paidsocial&utm_source=faceb|ook&utm_campaign=oppo -hylink -nz_en -brand ---cpc-aseries -20240209 -20240309 -|consideration -traffic&fbclid=IwAR1YTpH2g9aSnjzJgq8M6kiy2flQ6OtPKBkzJXF3odpUaht -|X6FhiX -w9y4""|My concerns about this type of marketing is promoting the purchase of a first smart phone|for a young child. The phones in question appear to be general smart phones which children|could use to access dangerous content online| the advertisement does nothing to promote|the safe use of a child using a mobile phone or supervision of children while using a phone.|The advertisement does not mention any kid friendly apps that could be used to control a|childs activity and limit a childs time on a device.|My concerns are parents who have been considering purchasing their child a phone may be|swayed to purchase such a phone without considering the negative effects of a child using a|mobile phone.|I would consider this advertisement to be as harmful as promoting a childs first cigarette||drink of alcohol or vape. Given that our government will ban mobile phones in schools from|term 2 2024 this clearly shows that we shouldn鈥檛 be promoting the use of children using|mobile phones| especially without promoting responsible use.|Ruling|The Chair  of the Complaints Board ruled the issue you raise d does not reach the threshold|to breach the relevant Advertising Standards Authority  Codes and therefore we will not take|any further action.|The relevant codes are Advertising Standards Code - Principle 1| Rule 1(e)|24/034|2",Unknown,4
24037,The product pages of the parallelimported.co.nz website use randomly -|generated figures to mislead buyers about how many items were recently sold and how |many people are currently viewing the page. I鈥檝e included a PDF detailing exactly where and |how this happens.,Unknown,5
24038,The Complainant was concerned the claim in the advertisement was unlikely to be true.,Unknown,5
24039,The Complainant| Timaru District Council| was concerned the advertisement did not clearly  state the identity of the Advertiser | and the group wished to remain anonymous . The Complainant said the Advertiser was not able to be contacted via the media agent listed in the advertisement .,Unknown,5
24040,The Complainant  was concerned that scenes in the advertisement showed grooming behaviour between an adult male and a teenage girl.  The Complainant did not consider this content was appropriate for an advertisement and should not be screened on television .,Unknown,4
24041,ASA Complaint – Thirsty Liquor and Black Bull Waitangi Day Advertising   Kia ora|   1. This letter is to formally complain under the Advertising Standards Code about an  advertisement  featuring the waka taua Ngātokimatawhaorua in the water during Waitangi  day ceremonies. The  advertisement| pictured below| was observed on 7 February 2024:   2. Guidelines for Rule 1(c) of the Advertising Standards Code| (Social Responsibility –  Decency and  offensiveness) state:  Grounds for offence include| but are not limited to: gender; race; colour; ethnic or national origin;  age; cultural| religious| political or ethical  belief; sexual orientation; gender identification; marital   status; family status; disability; occupational or employment status.  Advertisements must not  exploit| degrade| denigrate| demean or objectify any person or group of  people or any  products| services| objects or places.   3. We submit that this advertisement| in associating the waka taua Ngātokimatawhaorua  with promotion of the sale of alcohol at Thirsty Liquor on Waitangi Day| exploits| degrades|  denigrates|and demeans the mana of Ngātokimatawhaorua.   4. In exploiting| degrading| denigrating| and demeaning the mana of Ngātokimatawhaorua|  the same  is done to the persons| peoples| and places associated with Ngātokimatawhaorua.  5. Mereana Peka (Ngā Puhi| Te Orewai| Ngāti Hine)| Chair of Turehou Māori Wardens ki  Ōtara| an  organisation we partner closely with| has consulted with kaumatua and wardens  who have strong  iwi and hapū connections to Ngātokimatawhaorua| regarding the use of  their waka taua in this  advertisement. Communities Against Alcohol Harm has the support of Peka and kaumatua to file  this complaint.,Unknown,3
24042,7:56 pm TVNZ...Ad showing a maori man driving fast....The ad is inherentlyracist ..Showing that the boss of a company is incapable of driving properly...And the young staff member with him is also maori,Unknown,4
24043,The Complaints Board did not uphold 17 complaint s about the television| radio and digital |marketing B urger King advertisement s promoting the Crunchy BBQ Whopper Burger.  This is |because the act of eating the crunchy burger and the loud noises that formed the soundtrack |to the advertisements were not in breach of the Advertising Standards Code.,Unknown,5
24044,"The Advertiser is making a claim that ""Slumberzone (is the) Best NZ made bed and |mattresses brand"" without any documentation behind the claim.  This company claims that |the Slumberzone bed is ""Most Luxurious in NZ"". They have not provided any link to any |survey or official report that can justify that statement.",Unknown,5
24045,The FaceBook advertisements discredit Registered Medical Practitioner prescribed |medication on the basis that they don鈥檛 work. One of the adverts goes as far as to tell people |to stop what they are taking in preference of their product.,Unknown,5
24046,The Complaints Board did not uphold a complaint about  a television advertisement  from |Global Shop Direct  promoting the Fantastic Floating Mop.  The majority of the Complaints |Board said  the advertisement was not likely to mislead consumers and the bonus items |featured in the advertisement added functionality to the product being purchased.,Unknown,5
24047,This letter is to formally complain under the Advertising Standards Code about an |advertisement  featuring the waka taua Ng 膩tokimatawhaorua in the water during Waitangi day |ceremonies. The  advertisement| pictured below| was observed on the Thirsty Liquor and Black |Bull Instagram  account on 23 February 2024 (via computer) and again on 27 February 2024 (via |mobile device):,Unknown,3
24048,The milkrun advert where the woman with phone in hand| is talking to the camera about how to use the milkrun service app on her phone in the middle of what looks like a business meeting. A male colleague then asks her with disbelief and concern| if she isfilming an add about the milkrun service in the middle of a meeting?? Her response in a condescending manner| “Its called  multi tasking Steve”! This implies he can’t multitask for starters. In my opinion there’s multitasking and then there’ s just being plain rude. My complaint is that this advert is also promoting that it’s acceptable for people in general to distract and disrupt others with their device usage. It also says| although you are at work and meant to be working it’s ok to hold up your colleagues and disrupt workflow while you attend to your personal affairs on your personal phone. I find this advert intolerable as I work in the health sector and despite signage telling patients not to use phones while being attended to| every day the services within my workplace is interrupted due to patientphone/device usage. Advertising like this is saying although you might be disrupting others with your phone use| it’s ok. And it most certainly is not.,Unknown,1
24049,Saying 70% off almost anything| on the website only 2 very cheap things are on |70% off. Have seen this ad in multiple other places with the same 70% off everything.,Unknown,5
24050,The Complaints Board did not uphold a complaint about  a television advertisement for |OneChoice life insurance.  The majority of the Complaints Board said  the verbal and written |messages in the advertisement were sufficiently clear and consumers were unlikely to be |confused or misled.,Unknown,5
24051,The Complaints Board did not uphold a complaint about  a television advertisement for Tower |Insurance . The Board said the Advertiser had provided adequate substantiation to support the |claim made in the advertisement and consumers were unlikely to be misled .,Unknown,5
24052,Date and time 12/3/24; around 11 pm on tvnz on demand. Programme watched was Outrageous Fortune. The advert was for One nz (Vodafone) and showed a person trapped under a quad bike making a phone call. Given the present push on quad bike safety in nz and the number of deaths which occur from these accidents| I believe this advert to be in very poor taste. I know a few people who have lost loved ones to quad accidents| and also people involved in heavy litigation in regards to people dying under these machines. It can be extremely triggering for people to see this image and I personally believe their message can be portrayed in another way| which isn’t making light of a very serious situation in rural New Zealand at the moment.,Unknown,1
24053,Whilst watching TVNZ on Demand - Emma a PG series with our 11 and 8 year old daughters at 7.00pm| the programme was paused.  The advertisment during this pause was naked men (you could only see the top half)| all making an organisim face.  The words on the screen were ’Ride with out distraction| order a descrete HIV test kit’. The advert was shocking and disturbing.  Not appropriate to be on any advertising platform.,Unknown,3
24054,Watching The Chase on demand on Friday March 15th at approximately 5.45pm. The screen changed to this advertisement when I paused the show. I had children in the room and find it appalling that TVNZ would consider these acceptable images to broadcast to unsuspecting viewers| let alone at this hour and during a family friendly program.,Unknown,4
24055,This advert is similar to the one in the Complaint Number 24/028.,Unknown,5
24056,Top of the South Media ran a full page advertisement by Gun CIty on the |Anniversary of the Christchurch mosque shootings in the Nelson Weekly and Waimea |Weekly|. The Whakat奴/Nelson community had previously expressed its concern about this| |and how the timing of previous Gun CIty advertisements with this date had retraumatised |those in the muslim community.. It was given this assurance from Top Of The South Media:,Unknown,3
24057,The Complainant was concerned that the advertisement could be misleading to say the  Advertiser does not have loyalty cards when a card is needed to use the self -scanning system.,Unknown,1
24058,I saw this ad and didn’t feel it was appropriate. The product has 0 connection to Maori culture which becomes even more apparent when you click the link and are just presented with a standard product page. I feel it’s just a cheap/offensive stereotypical attempt at appealing to our country. I doubt Maori people would approve of their culture being used to sell a laptop of all things. Companies need at least a warning if they think they can just use anything to create an ad| certainly when it comes to cultural stuff,Unknown,5
24059,Advertisement which is being shown on demand and also on you tube at https://youtu.be/TA3zGraxCFw?si=Lztq5Z7UiJ_zIVxH clearly shows a Ford Ranger being used by a tradie parked illegally across the footpath. In the advertisement this is not called out or  noted| appearing to further endorse this illegal parking. As this is an ongoing issue with tradies across NZ| it appears that Ford supports this behaviour and is not taking action to try and address this issue.,Unknown,3
24060,The advert has connotations of flashing adult male. A man opening his bath robe to show he is wearing speedos forcing two little girls ( presumably his daughters ) shying away from the overall vision. I find this truly awful that young girls are still placed in these positions in the media to view a supposed man flashing it had nothing to do with selling pools. https://thepoolhouse.co.nz,Unknown,4
24061,The attached screenshots details an advertisement from JD Sports New |Zealand. This ad on Facebook comes across deceitful and indicates the product in the photo |is part of a sale deal| only to click the link and the product not be part of any sale at all. I |raised this ad with JD Sports who refused to offer any compensation. I believe this ad does |not follow ASA guidelines regarding Truthful Representation and is incredibly misleading to |consumers| relying on click bait to gain web traffic. Alongside this| JD Sports Customer |service did not provide any follow through for the product| that as shown in the screenshot| |was advertised as part of a sale with 鈥渦p to 50%鈥?off. JD Sports informed me they have |requested the advertisement be removed but again offered no follow through for what they |had legitimately advertised.,Unknown,3
24062,There were eight complaints about this advertisement. The Complainant s were concerned the  advertisement  was inappropriate for public display because it suggest ed sexual act ivity and  was not suitable for young people .,Unknown,4
24063,The advert claims that New  Zealand is the first country to see each day. That’s not true. That’s Kiribati. This may not be earth shattering. But it’s a lie. Or ignorance. Nice strap line| but wrong. I have no idea what Brandt do or sell| but accuracy is important. Period,Unknown,1
24064,Product advertised was only a prop. Its size was not proportionate to anything that can be purchased from the company. The size of the product shown in the advert would clearly contradict any guidelines of what would be part of a healthy diet for children.,Unknown,4
24065,"New World video ad published while watching TVNZ News in TVNZ app. I saw the ad on March 27th 2024. The ad shows a man grocery shopping at New World and the comment says that he is earning more than just brownie points| and shows the man getting New World loyalty points and scanning his New World bar code. The brownie points comment suggests that grocery shopping is a favour he is doing his partner| and not a part of men’s usual duties. This perpetuates harmful stereotypes that householed chores and women’s duty and when men do them it is somehow special and will earn them extra ""brownie points"". Frankly| it is plain stupid in 2024 and as a woman I have had enough. Thank you.",Unknown,5
24066,The Complaints Board Upheld  a complaint about  a print advertisement from Reality Check |Radio .  This is because the Advertiser had not provided substantiation to support the likely |consumer takeout that tens of thousands of people had experienced serious health impacts |from the COVID -19 vaccination.,Unknown,5
24067,"The 1Cover advertisement currently seen on their website and on buses around |Wellington city is inappropriate and offensive. This advertisement features a seemingly |Caucasian man looking sickly at Indonesian cuisine| in this case an octopus with the title |""Bali Belly?"". This is offensive because it is othering non -western food and showing it as |poisonous. This is offensive to those whose normal cuisine includes octopus as it is showing |their traditional foods and dangerous and poison and disgusting. This is a constant problem |that immigrants have to deal with in front of their western counterparts who look at non -|western foods and smells of foods as strange and not for eating. This advertisement further |perpetuates the idea that non -western or non -New Zealand food is not good for us. This is |culturally insensitive and will validate people in thinking other cuisines are bad for them and |will make them sick causing isolation to our non -western citizens.",Unknown,5
24068,I believe the Kiwibank video ad posted to their Facebook page (dated 18th March 2024) breaches advertising standards. This also airs during the ad breaks on the TV3 on demand. app It is of a young girl| who I could only assume to be around the age of 10| trying to sell her cupcakes in a stall outside her home however none of her customers have cash on them to pay therefore she provides Apple Pay as a form of payment which then mean people are able to pay through their phone or watch. All of this I have absolutely no problem with. What I do have a problem with is one of the characters in the skit - a man in very small and revealing togs. I would like to draw your attention to the Tip Top ad which aired in 2006 called ’TOGS TOGS| UNDIES’. In a light -hearted and comedic way it illustrated when togs become undies. It states that if you can’t see the water| you’re in underpants.  Clear and simple. I know many people my age would be able to recall this ad and instantly be able to call someone out if they were seen to be wearing their togs in a public setting that wasn’t the beach or swimming pool. In the Kiwibank ad| the man in question is standing in what appears to be a quiet neighbourhood wearing an open Hawaiian style shirt and very small  and tight swimming trunks - no water in sight. His female friend (who is wearing a one piece swimming costume and is covering her lower half with a sarong) starts by saying “We don’t have any pants” the camera then flicks to him and he reinforces it buy saying “Yeah| no pants” while at the same time removing the blow up swimming ring that was covering his lower half revealing his swimming trunks. If a man did this in public to a child| it would be deemed sexual harassment. I believe this breaches advertising standards under PRINCIPLE 1: SOCIAL RESPONSIBILITY Rule 1 (c) Decency and Offensiveness and under the Children and Young People’s Advertising Code as moral harm. I am not prudish or trying to be a ’Karen’| I’m simply standing up as a 30 year old mother who wants to protect my child’s innocence.,Unknown,4
24069,Promoted content on Linkedin| explains the new contractor process to tender for Sensitive Claims and refers to Sexual Violence support and victims. It should have a content/trigger warning for victims of sexual violence and those going through the sensitive claims process| who might be trigger by this content.,Unknown,0
24070,The Complaints Board uph eld four complaint s about  a television advertisement for Wildz.net |Free to Play gambling site. The Board said the advertisement was misleading and had not |been prepared and placed with a high standard of social responsibility to consumers and to |society.,Unknown,3
24071,"no road user charges apply"" This statement is a lie",Unknown,1
24072,1. This letter is to formally complain under the Alcohol Advertising and |Promotion Code about an  alcohol advertisement featuring a minor.  |2. The advertisement features a minor and was observed on 7 April 2024. The |advertisement was  posted on the Instagram account ricardochristie| and is labelled an #ad |for @whiteclawnz.  |3. The advertisement is viewable here.  |4. Guideline 5 of Rule 1(b) of the Alcohol Advertising and Promotion Code| (Targeting Adults  |Content) clearly states:  Minors must not appear in Alcohol Advertising or Promotion.  |5. In the Alcohol Advertising and Promotion Code| Minors means people who are under the |age of  18 years.  |6. Please advise when the Complaints Boards Chair has determined whether this complaint |is to go before the Complaints Board| and provide a reference number for tracking.,Unknown,4
24073,The Complainant was concerned the advertisement was misleading greenwashing because it  suggests that ChooseWell is an independent sustainability -focused agency.   A copy of the complaint is in Appendix 1.,Unknown,1
24074,"On April 2 2024 at 8:56am on TV3 on Demand a NZ lotto ad came on that talked to the social| environmental and community benefits that Lotto creates. 100% of all money back to the community on the Youtube add they say ""Hey| I’m Grant and with Local Grants| any time you play any Lotto NZ game| it’s a win for our communities| for the environment| and it’s a win for every generation. Because 100% of profits| go back into win’s all over Aotearoa. Cheers| Lotto NZ players."" I can  see no disclaimer on the incredible harm it causes poorer communities| Māori especially. One could easily argue this was made with a Māori audience in mind. - https://www.rnz.co.nz/news/in -depth/475019/lottery -grants - system -incoherent -biased -and-preserves -status -quo-review - New Zealand - ’Lottery grants system incoherent| biased and preserves status quo - review’ is an article that shows the harm it creates in Māori community. I do not understand how the social harm caused is not mentioned in the ad or comments.",Unknown,2
24075,My friends| family and I all find the depiction of a man in a dress to be deeply disturbing and offensive. Why are you allowing them to promote mental illness? This is extremely concerning considering the exposure to children. You are destroying our communities.,Unknown,4
24076,The Complainant was concerned that the advertisement was misleading to state there was  thousands  of items in the sale when they could not even see 1000 items.,Unknown,1
24077,The advertisers’ email ( distributed on 17 -4-2024) appears to breach the ASA  guidelines due to its potential promotion of excessive alcohol consumption and irresponsible  messaging.   The advertisement could normalize unhealthy drinking habits and imply that the advertised  product can mitigate the negative effects of hangovers| without sufficient evidence to support  such claims.,Unknown,2
24078,Shingrex advert | this advert is on day and night | it suggests you catch shingles from other people and shows 50 year olds at a party . When I had shingles poeplectefeered to those adverts and automatically believed you catch it when in fact it ’s a medical condition caused from various other  symptoms not body to body .,Unknown,1
24079,"I wish to make a formal complaint about this advertisement because I see at|least 3 issues with non compliance.|First: Advertisements must not be disguised as something else.|As obvious from the attachment this opinion piece was disguised as a front page article with|the word advertisement in tiny print| which could be easily overlooked.|Second: Advertisements must not exploit superstitious or vulnerable audiences.|By clearly disguising the advertisement as a newspaper article this is exactly what is|happening here. In particular in the current climate where people are already superstitious|the whole tenure of the advertisement is aimed at undermining our local democracy||accusing the councillors of hiding information and wasting money.|Third: Advertisements must be truthful| balanced and not misleading.|This advertisement contains half truths| false accusations| inaccuracies and pretends to give|information about ""secrets"" but that information is already widely known. The advertisement|is clearly meant as an agitator for the voters (ratepayers versus voters is very unclear||everyone votes and pays toward rates) to mistrust the local council by insinuating lack of|consultation and information.|Four: The identity of the advertiser needs to be obvious|Myself and many others in our region have been protesting against this non existing group|represented by an outsider who does not even have links to our  district. Obviously they do|not want to front up like everyone else has to| even claiming it could be to their disadvantage|when their identity should be revealed. Well they may be right about that| we do need to|know who is trying to undermine our local democracy.|It is disappointing that this group that is nowhere to be found and of which no -one can be a|member can have a representative and now secretary from outside the region which|appears enough to avoid disclosing the identity of the person(s) responsible for this|advertisement. What has been called a witch hunt by Hels Ryan were a large amount of|letters demanding disclosure of the identity and discontent with the mis information and|general tone of the advertisement| all written by identifiable locals.|My request is as follows:|That the Advertising Authority acknowledges that standards have not been met and that the|advertisers have to disclose their real identity.|24/079|2",Unknown,1
24080,The C omplainant was concerned the advertisements were misleading because  they conveyed the impression that the dog poo bags were “home compostable” | which the   Complainant believes is  unlikely.,Unknown,1
24081,The C omplainant was concerned the advertisements were misleading because |they conveyed the impression that the dog poo bags were 鈥渉ome compostable鈥?| which the  |Complainant believes is  unlikely.,Unknown,1
24082,The flick energy advertisement does not highlight it’s ability to provide cheaper electricity to the consumer. I feel it provokes anarchy around the general expense of power and sugests a consumer uprising. The advertisement should stick to what it claims it can do for the consumer and not that the consumer should be outraged at all electricity providers.,Unknown,5
24083,The Complainant was concerned the advertisement was misleading to not qualify what brands  the product has 75% less carbs than.,Unknown,1
24084,The Complainant was concerned the advertisement was misleading  and disagreed with each  of the three statements presented as facts.,Unknown,1
24085,This is an advert for southern Cross health services| online mental health| |check -ins. i saw the paid advertisement on TikTok on Thursday| 25 April.,Unknown,5
24086,The Complainant is concerned about alcohol brands or branded products being directly or  implicitly linked with the use of guns.,Unknown,2
24087,I received an email promotion offering 50% off my next order if I answered a |trivia question. After submitting my answer| I received a discount code via email. However| |when I tried to apply the code on DoorDash| I encountered an error. I contacted DoorDash |via chat| and they informed me that the code is not valid at my location before abruptly |disconnecting the chat| leaving me unable to ask follow -up questions.,Unknown,3
24088,The Complaints Board did not uphold a complaint about  a Tauranga City Council  newspaper |advertisement encouraging people to stand for the Tauranga City Council . The Board said |when considered in context the advocacy advertisement was not misleading.,Unknown,1
