decision_id,complaint_number,advertiser,advertisement,date_of_meeting,complaint_id,complaints,label,len(complaints),adver_id,adver_,adver_type,len_adver,Unnamed: 13
20030,20/030,Craigs Investment Partners,"Craigs Investment Partners,",13/09/2020,20011,I am extremely concerned about an ad that has just aired a few minutes ago. It |showed| in my op inion| an image of a young girl in provocative/sexualised style. I think this |ad should be removed from T V in order to keep children safe in every sense of the word .,4,284,20006.0,": The Craigs Investment Partner s television advertisement shows a young |girl dancing with music playing in the background. The ad vertisement says ""from ballet |lesson to university fun ds| everyone's investment stories are different.""",,239,
20033,20/033,Shen Yun,"Shen Yu, YouTube",23/03/2020,20012,"I bought tickets for the Shen Yun show at Auckland on the grounds of the |advertisement represented by the screenshot attached. The advertisement repeatedly |appeared before YouTube clips. It a dvertised a cultural evening of traditional Chinese |dancing and colourful entertainment. |The show turned out to promote the ideas of Falun (Gong)/Dafa| complete with waiving of a |yellow [rather than red (Mao) or green (Gaddafi)] book| mini ""life plays"" con tained anti |Communist China propaganda| and 2 songs performed by 2 individual artists and transcribed |on the back -drop screen denounced atheism and evolution. |While these are valid views| I consider the advertisement for the show as misleading. I and |my fr iends had not purchased tickets to be subjected to any political/religious propaganda but |for the pure pleasure of experiencing a dance show.",1,877,20007.0,": The YouTube video advertisement for the Shen Yun production of |traditional Chinese dancing shows various clips of dancers performing. The voice over says |in part: This season take an incredible journey through 5000 years of culture.""",,242,
20034,20/034,Bio Energetic Medicine,Out of Home,19/02/2020,20013,Seen at the Coromandel Ketic Fair on 2 January. I was gobsmacked with the |utter non -scientific rubbish. As a Medical Laboratory Scientist| I do have some knowledge in |this field. Th is Naturopath could be endangering lives| and a lot of people seemed to be |interested in what he was doing. This may be more than against ASA| but also illegal. More |info on his website www.bem.nz,3,400,,,,0,
20037,20/037,COMPLAINT B Reymer,ADVERTISER New Zealand Labour Party,20/02/2020,20014,The Complainant is concer ned the advertisement is misleading to say National failed to invest in any radiation machines in its nine ye ars in office . The Complainant provi des examples of linear accele rator machines (LINACS) being i ntroduced during this time . The Complainant said the difference is that Labour is funding LINACS directly rather than through DHB’ s like the National Governme nt did and said there is no context provide d for consumer s to under stand the differ ence.,1,601,,,,0,
20038,20/038,COMPLAINT B Reymer,ADVERTISER New Zealand Labour Party,21/02/2020,20015,The Complainant is concerned the advertisement is misleading to say National failed to invest in any radiation machines in its nine ye ars. The Complainant provides examples of linear accelerator machines (LINACS) being introduced during thi s time . The Complainant said the difference is that Labour is fu nding LINACS directly rather than through DHB’s like National and said there is no c ontext offered for consumers to understand the difference. Issues Raised : • Truthful Presentation,1,610,,,,0,
20041,20/041,COMPLAINT E Allen,ADVERTISER NZ National Party,22/02/2020,20016,"The statement ""The Labour Government has raided $billions from State Highway funding"" is not correct or accurate. There was no pool of funding for state highways containing billions of dollars that had been established by the previous Government. This statement is being promoted on Facebook and asking people to sign a petition. This continues to be promoted through Facebook as at 21/1/2020 and is being targeted to english speaking pe ople aged 18+ in the Levin area.",0,452,,,,0,
20042,20/042,COMPLAINT C Smith,ADVERTISER NZ National Party,23/02/2020,20017,"The Compl ainant said the advertisement is misleading to claim it is a fact that seven out of nine poverty indicators have worsened under Labour . The Child Poverty Statistics do show an increase in 7 indicators, but this is between 2016/17 and 2017/18, only part of which was with a Labour Government and prior to the policies promised by the Prime Minister were due to be implemented. The Complainant said there was no data source provid ed by the Advertiser.",2,420,,,,0,
20043,20/043,COMPLAINT ON BEHALF OF Alcohol Healthwatch,"ADVERTISER Hancocks Wine, Spirits & Beer",24/02/2020,20018,The Complainant said the placement of the billboard in very close proximity to Kowhai Intermediate School was inconsistent with Principle s 1 and 3 of the Code for Advertising and Promotion of Alcohol.,0,494,20008.0,has been removed.,,18,
20044,20/044,Vodafone,Vodafone Out of Home,24/03/2020,20019,The Complainants were concerned the sexual inuendo in the advertisement was inappropriate for a play area likely to appeal to children. Issues Raised : • Social Responsibility • Decency and Offensiveness,4,444,,,,0,
20045,20/045,Spend My Super,"Spend My Super, Television",24/03/2020,20020,The ad feels very brutal. It was quite offensive given the recent incidences of child harm cases in the media at the moment.,5,429,20009.0,s must be prepared and placed with a due sense of social |responsibility to consumers and to society.,,101,
20046,20/046,Imagine Rail Journeys,"Imagine Rails Journeys, Print",06/03/2020,20021,The Advertisement shows A sunset shot of The Ghan train passing Uluru. My |wife a nd I have travelled on The Ghan and we know it does not travel closer than 200km |from Uluru.,0,193,,,,0,
20056,20/056,COMPLAINT ON BEHALF OF Alcohol Healthwatch,ADVERTISER National Brands,07/03/2020,20022,"The Complaints Board upheld a complaint about a Facebook advertisement for Nitro Vodka |Guarana drink which said Happy V Day ! Grab a bottle of NITRO loouve juise ""and showed |an image of a semi naked couple with sex toys in the background . The Complaints Board |said the combination of the image and the wording linked an alcohol product to sexual |success. The Board said this breached Principle 1 and Rule 1(c) of the Code for Advertising |and Promotion of Alcohol.",0,524,20010.0,s must be prepared and placed with a due sense of social responsibility to |consumers and to society.,,101,
20057,20/057,COMPLAINT ON BEHALF OF The Society for Science Based,Healthcare,08/03/2020,20023,"https://www.mightyape.co.nz/product/the -permanent -pain-cure-the-breakthrough -way-to-|heal-your-muscle -and-joint-pain-for-good -pb/3207000 |Advertiser Website |Mighty Ape makes various claims for the book ""The Permanent Pain Cure: The Breakthrough |Way to Heal Y our Muscle and Joint Pain for Good"" that likely goes against the scientific |evidence. These strong claims are likely to break the Therapeutic and Health Advertising |Code Principle 2| Rule 2(a). |On the product page: |""The Permanent Pain Cure: The Breakthrou gh Way to Heal Your Muscle and Joint Pain for |Good"" |""the proven pain relief program used by professional athletes No drugs. No surgery. No pain! |""The Ming Method"" for pain relief has worked wonders... His method doesnt just manage the |pain| it cures it -for good. "" |https://www.mightyape.co.nz/product/the -permanent -pain-cure-the-breakthrough -way-to-|heal-your-muscle -and-joint-pain-for-good -pb/3207000 |Basically| the ""cure"" is supplements and stretches. |The scientific evidence shows very little evidence that st retches or supplements help for pain| |they sure dont cure it: |https://www.painscience.com/articles/stretching.php#sec_pain |https://www.painscience.com/articles/supplements -for-pain.php",0,1270,20011.0,": The advertisement on the Might y Ape website is a listing for a book called |The Permanent Pain Cure: The Breakthrough Way to Heal Your Muscle and Joint Pain for |Good"" by Ming Chew | published by McGraw Hil l. The advertisement contained therapeutic |claims.",,264,
20058,20/058,Woolworths New Zealand Limited.,Countdown Unaddressed Mail and,09/03/2020,20024,"In the box saying mlant based""they are advertising a meat product. The Angus |beef has a small amount of kumara in it but I think that is stretching mlant based""too |far. Obviously misleading",1,213,20012.0,": The unaddressed mail catalogue| which was also available online was for |Countdown Supermarket. On the Meat page of the catalogue it had a box on the left hand |side which was headed up Plant Based Protein"". There were 4 products in the box with one |of them being Angus Beef and Kumara Skewers.",,300,
20059,20/059,NZ Smokefree Tomorrow,White Fox Radio,07/04/2020,20025,The Complaints Board did not uphold a complaint about a radio advertisement for White Fox |nicotine pouches. The Board said the advertisement did not encourage or condone an unsafe |practice or a disregard for safety .,3,266,,,,0,
20060,20/060,Specsavers New Zealand Limited,"Specsavers, Website",12/05/2020,20026,"The Complaints Board did not uphold a complaint about a website advertisement for |Specsavers. The Complaints Board said the use of the word including""was not misleading . |The Complaints Board acknowledged the Ad vertiser's pricing error and settled this element of |the complaint as the advertisement was amended .",1,368,,,,0,
20062,20/062,Mercury Energy,"Mercury Energy, Digital Marketing",02/03/2020,20027,"This advertisement in my opinion is misleading. At the end of the advertisement |a car is shown been driven on a road and th e words ""Kiss Oil Goodbye"" are shown. As |anybody would know while oil is used to make petrol it is also used to manufacture most of |the components of any car| electric vehicles included. A better slogan for this campaign |would be ""Kiss Petrol Goodbye"". Say ing that buying electric vehicles will halt the use of oil is |misleading.",1,477,20013.0,": The video advertisement for Mercury Energy which appear s on the NZ |Herald website | www.nzherald.co.nz | is set to the song 淜iss and Say Goodbye"" by The |Manhattans. The advertisement shows people saying goodbye to their petrol fuelled |vehicles and bypassing petrol stations in their electric driven cars. The text says 淜iss Oil |Goodbye. Join the Electric Revolution.""",,384,
20063,20/063,Procter and Gamble Australia PTY,LTD,03/03/2020,20028,I wish to make a formal complaint about the advertisement for Metamucil. This ad |has been on at least two stations| TV One and Choice . I find this advert showing people |dressed up as a colon and faeces to be both degrading and socially irresponsible. |Have we come so far as a race that personal problems (constipation) are now to be just a |snigger!,3,371,20014.0,": The Metamucil television advertis ement shows people dressed in giant |colon| faeces and Metamucil bottle costumes. The voiceover says When I first met Nugget |he was stuck in a hole. But Ivee been pushing him hard. Now Nugget is healthy and |regular.""",,261,
20064,20/064,The Book Depository,"The Book Depository, Radio",06/03/2020,20029,"This ad has the voice of a woman and male who appear to be getting ready for |bed. The female voice asks the male voice what size his handcuffs are and there is a |reference to her hanging chai ns in their bedroom. The male appears confused as to what is |going on and what the female's intentions are. At the end| you can hear the sound of a whip |and the male voice saying ""ouch"" or something similar. followed by a voice saying the Book |depository h as something that will interest everyone. The reason I am complaining about this |ad is due to the lack of apparent consent between the female and male within the |advertisement. All forms of sexual activity| from what is considered heteronormative sex to al l |types of BDSM need consent from the adults who are participating| The male in this scenario |appears to have no idea of what is going on and what the female's intentions are. I feel that |this ad sends the message that you do not have to have consent for t he sexual activity |because you read a book you liked and it is ""just fun"". I have also thought about how this ad |would sound if the voices were reversed| and with a male| in the female role| I believe that |fewer people would find it funny. I believe this a dvertisement essentially promotes sexual |violence due to the lack of consent from the male person. If the male person appeared to |understand what was happening and was keen I would have no issue with the advertisement.",0,1471,20015.0,": The radio advertisement for The Book Depository depicts a couple getting |ready for bed when the female voice asks what handcuff size their male partner is. He |replies confused and u nsure about what is going on. After being whipped by the female| the |male voice complains that it hurt and is told by the femal e to ""take it"" before she whips him |again. T he voiceover states that the book 50 Shade s of Grey is an available title from The |Book Depository.",,467,
20066,20/066,Xero NZ,Xero NZ Television,09/03/2020,20030,"I believe this advertisement has breached Discrimination and Denigration |Standards. |I was shocked and offended at this subtle and unnecessary denigration of experienced| and |by inference 檕lder"" people in the workplace| and a blatant promotion to sho w preference to |and employ young people instead. |If the content for this advertisement was based on gender| race| gender identity or any other |defining medium it would be struck out immediately ! |I am at a loss to see the reason for this add| as all employ ers are well aware of the young |workforce. |I note too| that the stated reason for employing young people instead of more experienced""|people is because they are the future"" |As though older experienced people are of less value and have no place in the fu ture. |This is age bashing pure and simple and it has no place in our society.",4,877,,,,0,
20067,20/067,Antares Restaurant Group Ltd,"Burger King, Radio",07/04/2020,20031,"The majority of the Complaints Board Upheld a complaint about a radio advertisement for |Burger King""s Rebel Whopper plant -based burger claiming it contained 0% beef. The majority |of the Complaints Board said consu mers could be mislead | and consider the burger was |suitable for those who dont eat meat | when it is cooked on the same grill as the meat products.",0,422,20016.0,to be removed.,,14,
20068,20/068,Contact Energy,"Contact Energy, Television",09/03/2020,20032,"The exclusive use of Asian dairy owners severing non asian customers is not |reflective of the society in which we live. It also goes so far as to imply that this community is |willing to break the law ""not for individual sale| just watch me"". Being and Australian born & |raised Indian I find this and the fonterra ad (Mr Patel ad) highly offensive as the role the |Asian community plays in NZ society is far greater than a dairy owner. Portraying th e entire |community as only convenience store owners is highly demeaning The Surely the Asian |community is contributing more than these ads demonstrate",3,622,20017.0,: The Contact Energy television advertisement has a voiceover which |praises the dairy owners and newsagents of New Zealand and shows a variety of owners in |their shops. It talks about how the shop owners serve the community and says in part: |ehen they say youree out of stock| you say it's out the back. When they say not for |individual sale| you say| just watch me…e?,,377,
20069,20/069,Reckitt Benckiser (NZ) Limited,Finish Television,09/03/2020,20033,This evening during TV One news| at 6.17pm during an advertisement break |Finish dishwash tablets advertisement featured a child sitting on a kitchen bench next to the |dishwasher. This is agai nst Tikanga| maori protocol. As putting bottoms| feet and hats where |food is prepared| served or eaten is offensive.,4,328,,,,0,
20070,20/070,Westpac New Zealand,"Westpac, Radio",12/05/2020,20034,The Complaints Board did not uphold a complaint about a Westpac radio advertisement . The |Board said the advertisement was not misleading as the financial product was described |correctly and the humour used in the advertisement related to different options to cut costs.,1,323,20018.0,s should not or should not be likely to mislead| deceive or confuse |consumers| abuse their trust| exploit their lack of knowledge or without justifiable |reason| play on fear. This includes by implication| omission| ambiguity| exaggerated |claim or hyperbole. | 20/070 |2 Relevant precedent decisions |In considering th is complaint the C omplaints Board referred to precedent decision 19/143 |which was Not Upheld .,,424,
20071,20/071,Booster NZ,"Booster NZ, Television",09/03/2020,20035,Directly targeted at the elderly| property is promoted as though it is an asset |class with no risk. A direct comparison is made to term deposits| which is absurd. I |understand that low interest rates continue to prevail but property is cyclical. You can expect |land values to go to one third of valuation in eve nt of a market correction and the value of an |investment asset can materially deteriorate when tenants depart. The advertisement is |irresponsible.,3,480,20019.0,": The Booster television advertisement says in part: I know when it comes |to your nest -egg| the safety of your money is king. That""s why term deposits are attractive| |they are lower risk| unfortunately the returns are lower too. That's why Booster created the |Private Land and Property Fund. It's designed to help you get better returns| while your |capital is backed by land and proper ty that you can see| visit and touch.""",,437,
20072,20/072,RNZ,RNZ Instagram,09/03/2020,20036,"Radio NZ imply in this ad that unlike other media readers ""do not pay"" for Radio NZ content. |This is patently false and misleading. |Unlike most other media organisations| everyone (to use th e advertisement's wording) ""have |to pay"" for Radio NZ - it received more than $43million in FY2019 taxpayer funding. |We ask you to please consider this advert| and rule it misleading.",1,400,,,,0,
20073,20/073,Restaurant Brands NZ Ltd,"KFC, Television",09/03/2020,20037,KFC are promoting emotional eating| a dangerous habit which is linked to eating |disorders. Their advertisments are promoting an unhealthy relationship with food basically |saying to eat their food if you are upset. This could affect emotionally distressed and/or |young and impressionable people to believe they should eat KFC if they are feeling upset |and it will fix their problems. This is very dangerous advertising as it promotes a very |dangero us type of eating.,3,488,20020.0,: The television advertisement for KFC shows a daughter telling her parents |that her relationship has ended and the parents appearing happy with the news . The father |suggests buying KFC and they purchase a celebration bucket at the drive -through and eat it |at a picnic table.,,285,
20074,20/074,NZ National Party,"NZ National Party, Facebook",07/05/2020,20038,"The Complaints Board Upheld a complaint about the number of beneficiaries created during |Labour's time in Government versus the number of jobs created during National 's time in |Government. The Complaints Board sai d the advertisement did not contain sufficient |qualifiers to indicate the Advertiser was referring to a specific time period when making a broad |claim that National had created Nearly 10|000 jobs every month under National."" The |Complaints Board said thi s meant the advertisement was likely to confuse or mislead some |consumers.",0,603,20016.0,to be removed.,,14,
20075,20/075,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand (Dxe Nz),08/05/2020,20039,The Complaints Board did not uphold a complaint about the website advertisement for Tegel. |The Board said the Advertiser had substantiated the claim s about animal welfare made in the |advertisement . This is because Tegel farms are independently audited by AsureQuality to |ensure th ey meet or exceed the N ew Zealand Animal Code of Welfare minimum standards.,0,416,,,,0,
20076,20/076,COMPLAINANT 20/076,Direct Action Everywhere New,09/05/2020,20040,Nature of complaint: Breach of Rule 2 (b) of the Advertising Standards Code |In particular| we refer to the following:,3,125,20021.0,": The Ingham 's website (https://inghams.co.nz/working -at-inghams/ ) includes |a statement under the heading Animal Welfare""that states: At Ingham's| weree committed to |caring for our animals at all times. Our comprehensive animal welfare programs are developed |in collaboration with international animal welfare experts| retailers and regulatory authorities.""",,367,
20077,20/077,,,10/05/2020,20041,complaint: Breach of Rule 2 (b) of the Advertising Standards Code,3,70,20022.0,": The Poultry Industry Association of New Zealand website |(https://www.pianz.org.nz/who -we-are/health -welfare/ ) has a section on health and welfare. |The section includes statements on 渆xacting standards in animal welfare""and information |about the industry's working relationship with the Ministry of Primary Industries and the |Government -appointed| independent body NAWAC (National Animal Welfare Advisory |Committee ) on animal welfare standards.",,460,
20078,20/078,APPEAL NUMBER 20/078,20/00 7,11/05/2020,20042,the Advertising Standards Authority: Nature of complaint: Breach of Rule 2 (b) of the |Advertising Standards Code,3,119,,,,0,
20079,20/079,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand,12/05/2020,20043,The Complaints Board did not uphold a complaint about the website for N ew Zealand Pork. |The Board said the advertisement was not misleading and the statements about the pork |industry were well substantiated.,1,259,,,,0,
20080,20/080,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand,13/05/2020,20044,The Complaints Board did not uphold a complaint about the website for the Egg Producers |Federation of New Zealand . The Board said the information about the Code of Welfare for |Layer Hens was not misleading.,1,259,,,,0,
20082,20/082,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand (DxE NZ),14/05/2020,20045,The Complaints Board did not uphold a complaint about the website advertisement for Turk 's |Poultry Farm. The Board said the Advertiser had substantiated the claims about animal |welfare made in the advert isement. This is because Turk's farms are independently audited |by AsureQuality to ensure th ey meet or exceed the N ew Zealand Animal Code of Welfare |minimum standards.,3,429,,,,0,
20083,20/083,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand (DxENZ),15/05/2020,20046,The Complaints Board did not uphold a complaint about the website advertisement for |Wendy's Hamburgers. The Board said the claims made in the advertisement were not |misleading and the statements made were substantiated.,1,270,20023.0,"The website advertisement for Wendy's Hamburgers (Wendy's) include d the following text: |WENDYS ANIMAL WELFARE PROGRAM |Wendy's continues to lead the industry in setting and maintaining animal welfare programs. |Their robust supplier requirements and auditing program are of the highest caliber in the |industry. The Company's commitment to the humane treatment of animals is ev idenced by |semiannual audits of each meat packing facility they utilize.""",,458,
20084,20/084,Freedom Farms (NZ) LTD,Freedom Farms Digital Marketing,09/03/2020,20047,"Nature of complaint: Breach of Rule 2 (b) of the Advertising Standards Code |Rule 2(b) of Advertising standards code |Advertisements must not mislead or be likely to mislead| deceive or confuse consumers| |abuse their trust or exploit their lack of knowledge . This includes by implication| inaccuracy| |ambiguity| exaggeration| unrealistic claim| omission| false representation or otherwise."" |In particular| we refer to the following: |FREEDOM FARMS CLAIM (attached advertisement 1) |http://www.freedomfarms.co.nz/the -goods/chicken/ and |http://www.freedomfarms.co.nz/what -we-stand -for/faq/ |FREE RANGE CHICKEN |To make great chicken meals isnt real hard. |First you have to start with happy chooks""and be sure theyree farmed here in NZ the |Freedom way""on farms that let the chooks outside to peck about in the garden."" |DxENZ RESPONSE |The claim that all Freedom Farms chicken is free range may or may not be true. However| |the claim that these chickens are appy""is false. |Consumers are being conned into the standard mistake that free range chickens somehow |have higher animal welfare st andards than the usual barn -raised meat chickens. This is |exploiting their lack of knowledge"" |The modern vertically integrated meat chicken industry is designed to breed chickens as fast |as possible to make money| and there is no consideration of animal welfare. The Ross 308 |breeds that Freedom Farms admit they use in their FAQ (see attached advertisement 1) are |genetic freaks. Modern meat chickens are bred to be top heavy and fast growing| so they can |come to maturity in 6 weeks [1]. | 20/084 |2",0,1635,20024.0,": The Freedom Farm's website www.freedomfarms.co.nz includes |statement s under the heading s The Goods Chicken""and 漌hat we stand for| FAQs"" The |statements were related to farming happy and free range chickens.",,219,
20085,20/085,,COMPLAINTANT BurgerFuel,10/03/2020,20048,Nature of complaint: Breach of Rule 2 (b) of the Advertising Standards Code,3,80,20025.0,: The BurgerFuel website ( https://www.burgerfuel.com/nz/our -food/pure -|ingredients ) has the following statement on its Pure Ingredients page: Our chicken is the real |deal - we never use fillers and it must be eth ically raised. That's why we serve only 100% |free range natural chicken breast| for ultimate flavour - and say no to processing| hormones |additives and GMO's.,,383,
20086,20/086,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand (DxE NZ),11/03/2020,20049,The Complaints Board did not uphold a complaint about the website advertisement for the |SPCA Blue Tick standard . The Complaints Board said the Advertiser has substantiated the |claims that farms with the SPCA Blue T ick maintain standards that go beyond what is |mandated in the Codes of Welfare .,0,349,,,,0,
20087,20/087,COMPLAINT ON BEHALF OF Direct Action Everywhere New,Zealand (DxE NZ),12/03/2020,20050,The Complaints Board did not uphold a complaint about a website advertisement for Waitoa |free range chicken . The Complaints Board said the claims made in the advertisement were |not misleading and the statements were substantiated.,1,285,,,,0,
20088,20/088,Threebyone Pty Ltd,Rolla Jeans Out of Home,09/06/2020,20051,The Complaints Board settled a complaint about an out of home advertisement for Rolla's |Jeans | which was displayed in a paid outdoor media poster frame on the outside of a suburban |diary.,0,239,,,,0,
20089,20/089,MediaWorks,"Three, website",16/03/2020,20052,I am complaining about this ad as the women in the image looks very thin to the |point of looking very unwell and it should cause concern that this is being displayed to the |public as beauty. I am concerned young and vulnerable people will seek to attain this look |through unhealthy means.,3,308,,,,0,
20090,20/090,Chow Restaurant,"Chow, Poster",16/03/2020,20053,Chow uses the image of chopsticks standing upright in a bowl in their |advertising. Recently| I noticed the image on a poster down the alley besides the St James |and again along Kent Terrace| but they also use the attached image on their website. A |restuarant that serves Asian -fusion cuisine - including Japanese dishes - should be aware of |basic etiquette when it comes to how chopsticks are used in Japan and other East Asian |countries. Chopstic ks standing upright in a bowl is disrespectful| it resembles the incense |standing in a bowl of rice at a Shinto funeral and Japanese people avoid doing this with their |chopsticks,3,651,20026.0,": The logo for the Asian food restaurant Chow is a line drawing of two bowls |on top of each other with chopsticks drawn standing at an angle in the top bowl. The image |appears on posters advertising the restaurant with the text Feeding you until midnight.""",,263,
