id,text,target
76,i did successfully manage to stretch a mxm canvas i feel that this is an achievement in itself for me and was a worthwhile usage of my money and time i will use the canvas for future briefs,2
77,i think feelings are one of nay the most important things we have,2
78,i feel completely honored to be an influence to this young talented fully alive beautiful girl woman,2
79,i feel angered and firey,0
80,i feel like a miserable piece of garbage,5
81,i feel like i need to make a list leanne would be appalled at the thought so that i dont miss anything,0
82,i drove dannika to school i was feeling a little bit rushed and this is what greeted me as i turned the corner,0
83,i remember feeling so hellip furious with the shooter,0
84,i feel very happy and excited since i learned so many things,2
85,i feel that at shows and around show horses people are trusting and relaxed because most show horses are safe and quiet and are handled frequently,2
86,i only have a couple of things left to make and at the start of december i am done and feeling smug,2
87,i think about how u could make me feel and realize that everything will be ok,2
88,i feel so worthless during those times i was struggling finding work,5
89,i will be able to lay on my bed in the dark and not feel terrified at least for a while,1
90,i was ready to meet mom in the airport and feel her ever supportive arms around me,3
91,im feeling bitter today my mood has been strange the entire day so i guess its that,0
92,when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,5
93,i am letting go of the animosity that is towards anyone that i feel has wronged me,0
94,i talk to dogs as i feel they cannot understand words but they can read emotions and know how to be supportive i decided i should go home,3
95,i feel like throwing away the shitty piece of shit paper,5
96,im starting to feel wryly amused at the banal comedy of errors my life is turning into,2
97,i find every body beautiful and only want people to feel vital in their bodies,2
98,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,5
99,i say goodbye to the fam theyre all sad a crying and i feel like a heartless bitch because hey im pretty excited to be flying for the first time and you know also to spend a year in another country,0
100,i wont let me child cry it out because i feel that loving her and lily when she was little was going to be opportunities that only lasted for those short few months,3
101,i alba i feel good and im fitting in,2
102,i feel excited about what im doing again i feel like i have a ton of catching up to do,2
103,i also know how good it feels to look back and see that i honored my word and that helps from the start,2
104,i mean really really hard works to obtain such a high technical skill in wushu feel kinda ashamed but somehow motivated when i saw kids doing wushu performances whole heartedly despite their tiredness,5
105,i feel like things are getting a little overwhelming a few spritz of this toner really helps calm and soothe me,2
106,i hope that you realize how such little effort is required to make a person feel better about themselves or their situation whether its me a family member a college or high school friend a neighbor down the street or even a complete stranger,2
107,i am feeling so festive today that i m even going to put the tree up as soon as i ve finished doing this and catching up with the week s goings ons on coronation street,2
108,finding out that i am not ill not seriously,2
109,i did alright in class but a combination of feeling unsuccessful being man handled the stress of late and my horrible week resulted in my almost crying after i finished grappling,5
110,i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,2
111,i am feeling all useful,2
112,i feel like some of you have pains and you cannot imagine becoming passionate about the group or the idea that is causing pain,3
113,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,5
114,im not feeling homesick yet so im feeling alright about this,5
115,i dance i should feel pretty,2
116,i workout every morning before and feel fabulous for it,2
117,i feel all of this just from her eyes not from her touch or from her words but from her eyes i know that i can assuredly return this love and know that it shall not be in vain,5
118,i was feeling fabulous until friday morning when i started to get these awful cramps at work,2
119,i feel honoured to have been able to call them friends to share their brotherhood,2
120,i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,1
121,i had stated to her the reason i feel so fearful is because i feel unsafe,1
122,i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,1
123,i get into groups i feel really awkward and overcompensate by being too talkative or by getting really quiet,5
124,i am very excited to finally meet that companion that companion who will be with me at all times especially when i am lonely very lonely that companion who will never disappoint me that companion who will put his arms around me and make me feel loved,3
125,i feel they are pretty safe on my blog img src http s,2
126,i feel pretty eager to get it done as i have a fun plan for quilting it,2
127,i am feeling horny so i ask her that lets go home,3
128,i think if a poem doesn t put pressure on me i don t feel uncomfortable in the sense of feeling more than i can feel understanding more than i can understand loving more than i am able to be in love,1
129,i too feel as if i am a stranger in a strange land and i am raising my son in a place that is not his father s ancestral home,4
130,i left to the shower questioning what i feel she was gorgeous such a fantastic body so confident in her movement effortlessly graceful,2
131,i feel energetic and bouncy i m more than happy to go to the gym run around outside with my kids or take the pram for a long walk often i do all three in one day,2
132,i was still feeling strong,2
133,i didn t burst into tears or some other devastating release of feelings or thoughts because i seemed to know that rich also had to go through his own space without me just dumping on him,2
134,i wanted to get a pumpkin spice latte this morning but it was hot and the last thing i wanted was a hot coffee maybe i am feeling a little bitter,0
135,i suppose he feels badly because he was a bit skeptical of her pain over the last few months shes had a hyperchondria and exaggeration habit in the past though he never openly questioned her about it,1
136,i clench to the corners of the bed to feel assured,2
137,i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it,0
138,i called it god because i d seen god in a book and figured god was the right name for feeling so utterly affirmed and accepted without question,3
139,i don t know why perhaps because other girls in the office had nice short hair or perhaps i was just feeling rebellious,0
140,i do not feel miserable at all because my family is not the type that celebrates eid,5
141,i might go get a car wash if i am feeling really generous my car needs it,2
142,i still feel sleep deprived she is almost sleeping through the night giving us,5
143,i just feel really violent right now,0
144,i am bloging again i am sitting here feeling content with my dogs amp cat etc and i know that how lucky we are the truth is we,2
145,i started feeling funny and then friday i woke up sick as a dog,4
146,i feel a need to protect my parents against the witch hunt that repressed memory therapy can be,5
147,i feel disgusted to even be associated with this woman by my race and nationality,0
148,i laughed then bitterly again but i wasnt feeling bitter,0
149,i couldn t know what he was feeling then i thought that he wished he could have been there with us too for each of us knew that however much we hated it at first it was an experience we would remember forever,5
150,i was feeling quite mellow and i wanted a soft easy look to wear with my beginning of a cold,2
151,i told him that maybe i just need time to think how ive been feeling indecisive about things lately,1
152,i still feel it does the genre a disservice when stories are resolved artifically,2
153,i always know when i am feeling artistic when i write my name while i am in an artistic mood the i in manitz i draw a circle not a dot the bigger the dot the more artistic i am feeling and if it is just a line like an accent mark in spanish im pissed,2
154,i remember feeling really terrified when i was in brazil on a bus that was going up steep mountain hills on the side of the mountain in the middle of a big storm wondering if we were going to fall off,1
155,i could feel her whimper to the thought of being unloved and uncared for,5
156,im certainly not going to sit and tell you whats going on in my personal life but i feel that if you were ever curious about whats going in my life all youd have to do is watch the show,4
157,im sorry that there wasnt more humor in this post but im not feeling all that funny,4
158,i feel ive got my foot in the door of the fantastic world of walking and running the trails fells and mountains,2
159,i say whatever comes in my mind tell you directly what i feel a jealous girl not because i m insecure but because i just love that person a trust worthy friend sweet to the one i love,0
160,i feel strange coming back to work after my one day holiday,1
161,im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,0
162,i am fatter because the only thing in my life that can remain under my control is whether or not i get to eat peanut butter on bread when i get home from an impossible day of to first world looking yet third world feeling hell of needy and neglected little girls,5
163,i could claim to redeem the genre but it didn t leave me feeling as entirely frustrated to the point of beating my head against a wall either,0
164,i feel so sad and hopeless,5
165,im getting the feeling that my classes are a little intimidated by the concept of a lit,1
166,i still feel groggy but i have to get up to do the routine for my son,5
167,i have a feeling my view isnt going to be very popular and thats fine,2
168,i want to hold this feeling of shocked awe and wonder forever,4
169,when i heard a rumour that the st year exam results were out i had fear that i might be one of the failures,1
170,i want to feel valued i do and appreciated i do and know the people who love me arent going anywhere even if the nature of the relationship changes,2
171,i know there are days in which you feel distracted,0
172,i use it regularly with relaxing music and always feel invigorated afterward,2
173,im feeling distracted i tend to practice with my eyes shut as much as possible,0
174,i feel like its perfect a w see youtube has its influences i even know trends,2
175,i specifically wanted tango was feeling shy and maks quite the opposite hard to get far enough away from him to get good pics lol,1
176,i also didn t feel very weird sleeping in my bed while the two of them slept in hers,1
177,i just wish okay so i was thinking about it earlier today and heres the thing being all cooped up amp restless has made me feel so needy,5
178,ive lost some weight such that i could fit into a tiny skirt that ive been unable to wear because i didnt feel confident in it until now,2
179,i hope to feel a bit more creative again soon and miss its presence in my life blog,2
180,i am no fan of the current president i am a conservative and it made me feel unwelcome,5
181,i will enclose her verses on her could not weigh much more thinking and feeling curious to hear the odd couple,4
182,i begin to feel complacent with my life here,2
183,i feel vulnerable and alone,1
184,i remember feeling inspired and thinking that it was a fine example of parenting,2
185,i feel like i m always the one getting punished for stupid things and i feel like i m being chastised for behaving,5
186,i really feel that my life is perfect right now and if it isnt too much to ask for i just hope that everything would stay the same,2
187,im there i simply feel contented,2
188,im not saying cut everyone out of your life but i feel its important to find comfort in solitude meditation or working on projects alone,2
189,i think im just being stupid feeling nervous,1
190,i feel honored by it,2
191,i was feeling an act of god at work in my life and it was an amazing feeling,4
192,i feel im like a bird flying in the air in a very carefree manner,2
193,i have to revise my replies over and over again in my mind just to make sure that the reply sounds appropriate enough and that the person who receive the reply will not feel offended,0
194,i felt sad when a friend of mine died and i felt that something had irrevocably gone away from me,5
195,i died would alex and matt feel regretful for not coming to visit,5
196,i feel that educating families and supporting and educationg mamas and papas is key,2
197,im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,0
198,i feel like these are very boring sewing makes since they are so easy and there is nothing else to say about them than my fabric usage,5
199,i have always liked to use the original fragrance to freshen up and lightly scent my underwear drawer to feel gorgeously glamorous and girly,2
200,i feel like i talented young man i don t feel talented then i don t to work with,2
201,i feel curious about all this things around,4
202,i feel the reason were apart of each others lives is because im in his to help him become something to push him to succeed and be successful and happy,2
203,i feel now so uncomfortable with all of them i guess is me,1
204,i feel pretty mellow so far about whatever healing wounding process may be getting underway,2
205,i wonder sometimes whether i have just added to the antagonism and misunderstanding that many people have towards those of us who feel reluctant to wholeheartedly support the traditional armistice day remembrances,1
206,i legs would feel shitty for a few miles but would come around like they always do,5
207,i know its an unfair reaction but i have run out of ways to explain how i feel shaken is the best i can come up with right now,1
208,i seriously feel so blessed for the support that i have at home it s amazing,3
209,i feel abused and maligned but mostly tired of the nervous feeling anticipating danger,5
210,i am feeling pretty restless right now while typing this,1
211,i know gosman s is a touristy place to go if you are in the montauk area but infrequent visitors to this area want to head there for the harbor feel the gentle cawing of the seagulls lapping water against the wood pilings and relaxing breeze coming in off the water,3
212,i have to admit these hilarious e cards are seriously exactly how i feel i am so stressed out i feel at any moment i could start hy,5
213,i wrote last year when i was feeling more dull and inarticulate than normal,5
214,id kick myself into gear but i just feel irritable with no motivation what so ever,0
215,i feel as a child innocent feelings illustrating a,2
216,i have the satisfaction of feeling that i m no longer supporting or contributing to the looter driven consumerism that has made a walking corpse out of the america i so revered when i was younger,3
217,i will start to feel resentful,0
218,i will spend my vacation on me no obligations no headaches no feeling like i am being emotional blackmailed into being three places at once,5
219,i feel herpes coming i would be very surprised at this point if i make it out again after my checkup at the clinic on wednesday,4
220,i feel so fucked like everyday of my life,0
221,ive worked really hard all year to try to make each child in the class feel like they are valued,2
222,i am feeling disheartened with my words as of late,5
223,i didn t feel like i was being bitchy at the time but upon retrospect why wouldn t he think that i was trying to shake him off,0
224,i still second guess myself and still have a terrible time making definitive decisions but there are certain truths that i do know about myself and i feel assured by those truths,2
225,i don t feel like eggs benedict i ll have something equally delicious,2
226,im feeling my way through and trusting myself,2
227,im feeling inspired by all the summery elements of my favorite past time beach bummin,2
228,i can feel that she smiled i love you even more gorgeous,2
229,i continue to define and discover what home can mean here in amsterdam whenever i feel a pang of blank sickness it is more in line with missing the cultural mindset of american city life which is much different from the cultural mindset of amsterdam,5
230,i make an arcade i have a very simple purpose and that is to try to make it feel absolutely comfortable physically emotionally practically and absolutely,2
231,i can t say i feel all that sympathetic,3
232,i was feeling over eager and hopped on to the tube to ride the eye of london,2
233,i go online and i see a friend talking to another one and is not talking to me i feel ignored i feel unloved,5
234,i am not monitoring what i have to say about anything if you ever come across any of my blogs and feel offended please dont stop by here again,0
235,i feel like that s so weird that i had cancer that one time,4
236,i want to feel safe and well and that maybe just maybe theres a small chance my i can feel joy and my dreams can come true,2
237,im feeling cranky,0
238,i also think it is puzzling that after this particular administrator has singled me out for praise on my ability to get my students to read that he feels that ssr time is not a productive use of class time,2
239,i tried to fill it by befriending people that i knew were only using me but i didnt care because i needed to feel accepted even if it was by some complete loser,3
240,i feel stressed always,5
241,i remember feeling another cramp but i also ignored it,5
242,i hope i feel mellow well fed well slept at peace with myself within this external world,2
243,i have also learned it takes a lot of effort and positive thinking for me not to break down in tears over feeling exhausted and guilty for not being a better mom,5
244,im feeling awful because we hung out with my friend and her new baby the day before,5
245,i feel very relaxed and fine,2
246,i feel the suffering and i really feel the pain,5
247,i go to sleep i feel as if i m giving up precious time to do something else with my life,2
248,i feel like i ve been neglecting my beloved mom blog,2
249,i shalt say we did cos i din feel a thing when he wrote hw he is keen on xxx,2
250,i just feel terrified like im on the edge of a precipice staring ahead,1
251,i feel totally listless exams have come and gone and now i have a whole five or so months in front of me with no uni and free time,5
252,i feel furious that right to life advocates can and do tell me how to live and die through lobbying and supporting those politicians sympathic to their views,0
253,i feel as if i was abused in some way,5
254,im still paying attention but i feel distracted,0
255,i started the third block feeling hot and cold and tingly all at the same time knowing that i still had five hours of examination ahead of me having no idea if any of it would do any good,3
256,im hesitant to make suggestions because i feel as if the outcome would not be sincere,2
257,i feel not too terribly fond of the majority at this precise time,3
258,i can feel myself gaining control over the damaged goods aspects of my personal security,5
259,i was that i bombed that first interview i left the second interview feeling pretty fan freaking tastic,2
260,i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,2
261,i now feel i can advise other dads whose children will soon become teenagers it s not cool to pull up to your kid s high school to pick them up in a smelly jalopy with plants coming out the windows,2
262,i feel victimized by the drag on our country with heads in the sand traditionalists i hesitate to call them conservatives for fear of offending real honest to god conservatives who still think the world was created years ago and that stuff like skeletal remains are some kind of hoax,5
263,i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,2
264,i have been for my bloods which proved the reason i was feeling so lethargic and rubbish was that i am low on iron so i have now been prescribed iron tablets,5
265,i have my own mind and i feel like my mind is dangerous to my life,0
266,i feel like i love everyone or at least i am compassionate toward others,3
267,i feel as if i should be punished for neglecting you,5
268,i feel like it just doesnt capture the beauty of this lovely polish,3
269,i feel like i ve lost some of my main roots i feel less secure emotionally financially and socially,5
270,i feel like i should just bite the bullet and do it but every time i think about it i feel stressed because im not fully supported on my decisions,5
271,i know i have some obnoxiously immature sounding verbal tics and my voice is kind of nasal and i don t always come across like the sharpest tool in the shed especially when i m feeling awkward but there s knowing and there s knowing you know,5
272,id just had a terrible nightmare and was feeling a little disturbed,5
273,i didnt want to walk passed there just in case the customers feel disturbed,5
274,i want other sufferers to be able to find me in the hope that my battle can help them to feel that they are not alone,5
275,i am feeling exceptionally reluctant to go to school tomorrow even though its monday and the timetable is pretty good,1
276,i am so festive this feels so delicious wheeeeee what a great night,2
277,i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain,5
278,im sick of feeling crappy,5
279,i feel like i almost convinced myself this is going to be the pattern,2
280,i also wear them when im wearing a dress that makes me feel slutty feels like those antique underwears but obviously a little bit more edgy or maybe a little bit more than a little bit,3
281,i feel a perverse pride in my self control that i managed to stay where i was ordered and not reach for the tempting human flesh so close before us,5
282,i feel so impatient so easily annoyed so outraged by the blatant defiance that seems to be olivias most prominent characteristic these days,0
283,i was positively giddy when the kids left this morning after our very last official class of the year but now im feeling a little sad,5
284,i feel supportive of him i also cant help but feel jealous,3
285,i mainly like to text because i feel like i am so much more clever with the written word rather than the spoken,2
286,i seriouly feel i am not being respected i dont have my privacy i am being ordered around,2
287,i said in the words of a devotee that i feel relieved when i hear the your title as deen bandhu as i am the most fallen person but i become afraid at your title of uplifter of devotees as i don t consider myself to be a true devotee and hence unworthy to benefit from the aspect of your personality,2
288,i personalities that can feel pain and suffering,5
289,i guess i would feel more like joseph with walt trusting me to care for mother and over the finances which he did six months before he died there are times i want to defend my self but god makes me be quiet,2
290,i was warming up starting feeling a little lethargic,5
291,i feel excelent but sometimes theres just nothing to do especially since im not really keen on video games anymore i watch a bit of anime and some movies but theres just got to be more in my life,2
292,i wonder if this is what master is feeling i am r wanting and eager to please and i am master who could very much enjoy his my attentions but won t because it is wrong as i he has no desire to return his my affections,2
293,im feeling a little bit more positive now as things were quite hard at first as my savings were eaten up quickly with costs and i didnt want to become a burden to my boyfriend but weve come out the other end and im feeling brighter and more inspired about things to come,2
294,im just feeling rather sentimental right now and just have to say i feel so lucky to be maxs mom,5
295,i make myself show up and feel isolated in the crowd ill know i was wrong about the anti social feeling,5
296,ive learned how to turn off all my emotions more and more and i often find myself feeling completely blank while my mother is crying continuously over my suicidalness,5
297,i feel loyal to style,3
298,i can understand that you may feel youd rather not do your bit for the vulnerable and homeless in london in that precise way,1
299,i can finally stop feeling listless and like a waste of space,5
300,i know im feeling agitated as it is from a side effect of the too high dose,1
301,i do feel a shift in me to being more positive,2
302,i am feeling brave enough,2
303,fear of thief,1
304,i feel clever nov,2
305,i always spend more money there than i mean to and feel dissatisfied when i exit the store,0
306,im feeling really quite angry,0
307,i feel kerry didnt do by supporting civil unions and gay equality,3
308,i feel really ashamed,5
309,i feel to have these amazing people in my life,4
310,i finally left feeling judged and ridiculed because i am intelligent,2
311,i is starting to feel a bit insulted by this stranger,0
312,i have many days where i feel hopeless today the light at the end of my yellow brick road was shining just a little brighter,5
313,i actually feel sorrowful,5
314,i see women wearing boots i feel envious that i want to curse them,0
315,i will feel what i feel and tell you and together we will apologize and make up and keep loving each other to bits and bits,3
316,i go up to her and i say feeling very impressed with myself youre naomi klein right,4
317,i began to feel each of my senses dull until the cold black unconsciousness over came me,5
318,i suspect feel less than fond in private,3
319,i was so honoured that this young woman felt comfortable enough to ask me i had kind of a faux hawk thing going on back then so i must have looked dykey enough for her to feel safe talking to me,2
320,i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,0
321,i feel convinced plus so many diverse price tags that i feel sure everyone should come up with the funds to have their plot to be lighted up relatively economically,2
322,i feel empty when the baby isnt there,5
323,i stopped feeling so exhausted a href http provokingbeauty,5
324,im feeling font friendly,2
325,i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,2
326,i always feel intimidated by other people especially when they always compare me to other people ever since i was young,1
327,i be made to feel rotten,5
328,i started feeling hostile and i am checking my hemorrhoids,0
329,i love wearing new shoes i just feel so glamourous and when i get a pair of designer shoes i love the box and all the trimmings that come with them,2
330,i know about have to do largely with the fact that any feelings romantic or sexual i have successfully hidden from myself,3
331,i just love the feeling of something warmly hugging you and feeling so precious and small precious to someone something,2
332,im feeling far more mellow than normal,2
333,i became more dismayed as i studied what people were wearing and started feeling like though some of the outfits were gorgeous they were bought that way,2
334,i dont want to wax them off and draw them in or anything i just need to not have a unibrow and maybe get rid of the few spare hairs creeping down toward my eyelid if im feeling brave,2
335,im feeling lucky width li style border px list style outside margin px px,2
336,i recall those high school feelings and the longing with which i watched the olympic runners i feel st,3
337,i woke up feeling confident and watched the bodypump dvd to gather some coaching tips and compulsory cues,2
338,i didnt say was that strong feelings always make me skeptical at first,1
339,i want to talk to you about but with the limited time we have on the phone and with our current arrangment i feel hesitant to bring it up,1
340,i am beginning to feel that theres a good chance i might pass,2
341,i feel like i have a little more control and can help sweet pea better if i know what is ahead,2
342,i feel like i m on the receiving end of a violent attack,0
343,i feel it is worthwhile to document it for people who are not familiar with batch files,2
344,i and i are feeling especially thankful for so many small blessings in our life right now,2
345,i am hoping the weatherman is right with his forecast of stay at home dont venture out rain for tomorrow i am feeling all kind of creative,2
346,i feel like im just on the edge in this microcosm one more awkward moment or missed party and id be on the outside,5
347,i feel a bit funny actually,4
348,i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,2
349,i am feeling is also a blossoming eager anxiety,2
350,i feel burdened to share it,5
351,i always want nemo by my side and sleeping without her now feels weird even though it doesnt happen often that i get to,4
352,im not feeling the outfit but the heels are gorgeous,2
353,i feel confused after that,1
354,i feel that the session was useful and gave me tools i need to move forward in my life,2
355,i feel selfish bringing up our loneliness for a child when i know parents out in newtown are grieving their lost babies,0
356,i took away all the disappointed feeling all the paining i gave my heart to be heal by lord because he s the only one love who never betrayed never lose loyalty even i didn t loyal to him,3
357,i feel envious and embarrassed,0
358,i could feel the frantic need in him the need to make me his,1
359,i am feeling overwhelmed with the responsibilities of being a teacher that someone is trusting me with their most precious gift and it is an honor,4
360,i feel so tranquil right now its great,2
361,i feel frustrated when i have new music and new lyrics that clearly have nothing to do with each other,0
362,i thought we were going to talk and try and work at things so i was shocked to find out steve had decided he wanted to be on his own the thing that broke me was the feeling of been unloved,5
363,i wouldnt have beared witness to the incredibly well spoken bouncer making an emo kid feel completely unwelcome,5
364,i tend to stop breathing when i m feeling stressed,5
365,i was a smoker for years and quit weeks ago right after i finished your book and i cant believe how free i feel i knew that i had to quit but i was terrified of my life without cigarettes,1
366,i will go to my mailbox and talk to the mailman then the grocery clerk etc but no matter how small the step or how limited the risk a complete and total willingness to experience whatever thoughts feelings and sensations emerge is important,2
367,i am already feeling frantic,1
368,i feel like this insecurity is a good thing when i first started writing i pictured it all,2
369,i should feel complimented or insulted,0
370,i crave as i fall into submission and i did not feel submissive in the least,5
371,i feel tender just now and i am fine with that,3
372,i feel irritated pissed even like when someone wakes me up at that moment when i m on the edge of falling into a deep slumber,0
373,i made it to work but i am feeling a little groggy,5
374,i want to love you but i feel like there some sort of hindrance thats keeping me from loving you,3
375,i feel is that they are fond of themselves and ok second thought really sensitive to spelled everything here,3
376,ill get round to it this quarter im feeling hopeful about this one,2
377,im starting to feel unwelcome in life and some people can already tell this,5
378,i feel absolutely fantastic and i hope baby does too,2
379,i watched the snow fall and accumulate on the conifer trees while i was shoveling in my shirt sleeves and feeling vigorous,2
380,i feel bitter and just honkerblonked off in general,0
381,i have a feeling that your father already convinced him of that,2
382,i love and feel passionate about i m living my dream and now that i ve gotten a taste of what that feels like nothing can stop me,3
383,i play in the rain squeal with glee at the feeling of mud squishing between my toes and enjoy pretty much anything that takes place outdoors,2
384,i am feeling humorous i put cold callers on hold,2
385,i just busy myself with other stuffs but never with blogs or threads that will only make me feel miserable,5
386,i feel energized and curious again about life about god about my potential to give something back to society and about finding someone after my heart,4
387,i feel very privileged but it is also a lot of work,2
388,im pretty happy but a little on the nauseated side to feel thrilled,2
389,i close my eyes i can hear the pitiful wailing sounds of my own cries taste the salty taste of my tears and feel that anger and hurt saturating my heart,5
